Player Name,Player Team,Player Value,Player Position,Player Age
jamarrchase,CIN,9999,WR,23
justinjefferson,MIN,9997,WR,23
patrickmahomes,KCC,8340,QB,27
ceedeelamb,DAL,8327,WR,23
ajbrown,PHI,8124,WR,25
breecehall,NYJ,8051,RB,21
garrettwilson,NYJ,7829,WR,22
joshallen,BUF,7677,QB,26
jonathantaylor,IND,7606,RB,24
jaylenwaddle,MIA,7507,WR,24
amonrastbrown,DET,7327,WR,23
kennethwalkeriii,SEA,7273,RB,22
jalenhurts,PHI,7130,QB,24
christianmccaffrey,SFO,7091,RB,26
2023early1st,FA,7079,PI,
chrisolave,NOS,6984,WR,22
teehiggins,CIN,6973,WR,24
joeburrow,CIN,6746,QB,26
travisetienne,JAC,6700,RB,24
devontasmith,PHI,6680,WR,24
drakelondon,ATL,6589,WR,21
saquonbarkley,NYG,6566,RB,26
dkmetcalf,SEA,6559,WR,25
kylepitts,ATL,6532,TE,22
tyreekhill,MIA,6497,WR,29
2024early1st,FA,6313,PI,
justinherbert,LAC,6203,QB,25
stefondiggs,BUF,6100,WR,29
markandrews,BAL,6066,TE,27
traviskelce,KCC,5953,TE,33
trevorlawrence,JAC,5922,QB,23
lamarjackson,BAL,5776,QB,26
cooperkupp,LAR,5764,WR,29
austinekeler,LAC,5736,RB,27
joshjacobs,LVR,5723,RB,25
2023mid1st,FA,5716,PI,
javontewilliams,DEN,5666,RB,22
jamesonwilliams,DET,5659,WR,21
davanteadams,LVR,5600,WR,30
najeeharris,PIT,5577,RB,25
justinfields,CHI,5543,QB,24
deebosamuel,SFO,5498,WR,27
treylonburks,TEN,5496,WR,23
tjhockenson,MIN,5470,TE,25
jerryjeudy,DEN,5464,WR,23
2024mid1st,FA,5424,PI,
2025early1st,FA,5424,PI,
rhamondrestevenson,NEP,5418,RB,25
michaelpittman,IND,5413,WR,25
djmoore,CAR,5403,WR,25
christianwatson,GBP,5401,WR,23
dandreswift,DET,5370,RB,24
brandonaiyuk,SFO,5318,WR,25
tonypollard,DAL,5314,RB,25
georgepickens,PIT,5298,WR,22
2023late1st,FA,5239,PI,
nickchubb,CLE,5235,RB,27
chrisgodwin,TBB,5201,WR,27
terrymclaurin,WAS,5045,WR,27
jahandotson,WAS,5039,WR,23
jkdobbins,BAL,4967,RB,24
georgekittle,SFO,4936,TE,29
dameonpierce,HOU,4930,RB,23
marquisebrown,ARI,4850,WR,25
2025mid1st,FA,4844,PI,
2024late1st,FA,4834,PI,
christiankirk,JAC,4827,WR,26
kylermurray,ARI,4726,QB,25
dallasgoedert,PHI,4709,TE,28
derrickhenry,TEN,4672,RB,29
